show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s8646,movie,twinsanity,4442,2019-03-15,2018,tv-ma,86 min,"when a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly.",2019,3
s8647,tv show,twirlywoos,2,2020-05-15,2018,tv-y,2 Seasons,"the colorful and curious family of twirlywoos bounces around their boat and visits new places, turning learning into adventures wherever they land.",2020,5
s8648,movie,"twisted trunk, big fat body",2,2017-01-15,2015,tv-14,89 min,"after terrorists place a bomb inside a toy lord ganesha, a child takes off with the dangerous doll, setting it on a course throughout all of mumbai.",2017,1
s8649,movie,two graves,4443,2019-05-01,2018,tv-ma,80 min,"a doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one.",2019,5
s8650,movie,two lovers and a bear,1048,2017-05-02,2016,r,95 min,a troubled couple living near the north pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past.,2017,5
s8651,movie,tyke elephant outlaw,4444,2015-12-01,2015,tv-14,78 min,"this documentary recounts a 1994 incident in honolulu in which a circus elephant attacked and killed its trainer, then ran loose on the city streets.",2015,12
s8652,movie,tyson,836,2019-03-01,2008,r,90 min,"in this surprisingly emotional documentary, heavyweight champ mike tyson analyzes the controversies surrounding his career and turbulent private life.",2019,3
s8653,movie,ugly,974,2017-03-01,2013,nr,125 min,"when a 10-year-old goes missing while her father, an actor, is out on an audition, the girl's stepfather – mumbai's police chief – leads the search.",2017,3
s8654,tv show,ugly duckling,2,2019-02-15,2015,tv-14,4 Seasons,"young women face up to their insecurities and circumstances, finding love and laughs along the way. featuring a different storyline every season.",2019,2
s8655,movie,una,4445,2018-04-01,2016,r,94 min,"a young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier.",2018,4
s8656,movie,unaccompanied minors,4446,2019-10-01,2006,pg,90 min,"five disparate kids, snowed in at the airport on christmas eve, try to get back to their families and outsmart a disgruntled airport official.",2019,10
s8657,movie,unacknowledged,4447,2017-08-21,2017,tv-ma,104 min,noted ufo expert dr. steven greer interviews witnesses and presents classified documents concerning the existence of extraterrestrials.,2017,8
s8658,movie,under an arctic sky,4448,2017-12-15,2017,tv-14,40 min,"six fearless surfers travel to the north coast of iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras.",2017,12
s8659,movie,under the skin,4449,2018-07-15,2013,r,108 min,"a seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",2018,7
s8660,movie,undercover grandpa,2810,2017-11-01,2016,pg-13,94 min,"jake's date with his dream girl takes a turn when she disappears, and jake's grandpa – a former intelligence officer – sets out to find her.",2017,11
s8661,movie,undercover: how to operate behind enemy lines,4217,2017-03-31,1943,tv-pg,61 min,this world war ii-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.,2017,3
s8662,movie,unfinished song,4260,2019-07-22,2012,pg-13,94 min,"with his wife terminally ill, arthur's future seems grim. but he learns to find joy in life again when he joins an unconventional church choir.",2019,7
s8663,movie,union leader,4450,2019-12-31,2017,tv-14,105 min,toxic conditions and a corrupt union leader prompt a chemical plant worker and earnest family man to fight for justice for his fellow laborers.,2019,12
s8664,movie,unruly friends,4451,2019-06-20,2011,tv-14,83 min,a young woman discovers that familial and psychological traumas can be difficult to leave behind.,2019,6
s8665,movie,up in the air,4452,2020-01-01,2009,r,110 min,"ryan bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad natalie.",2020,1
s8666,movie,urvi,4453,2018-01-15,2017,tv-ma,121 min,"after getting tricked into working at a brothel, a medical student joins forces with two of her co-workers to fight their unscrupulous exploiters.",2018,1
s8667,movie,used goods,4070,2019-09-01,2018,tv-14,95 min,"to evade greedy pharmaceutical crooks, a medical scientist disguises himself as a struggling salesman to protect his groundbreaking cancer research.",2019,9
s8668,movie,uss indianapolis: men of courage,4454,2019-09-25,2016,r,130 min,"after becoming stranded in the philippine sea during world war ii, a tenacious navy crew faces a dire lack of supplies and a string of shark attacks.",2019,9
s8669,movie,v for vendetta,468,2018-10-01,2005,r,132 min,"a masked freedom fighter known as ""v"" takes up arms against a totalitarian government and finds an unlikely ally in a young woman.",2018,10
